Código,Nombre,PDF
PC12012,"PIÑON TENSOR Z12 1""x17,02 ROD NAC",https://tracensl.com/www2/ver_fichero.php?abtec=GG1O%2FA52rQg1zThb4kGAQA%3D%3D
PC11012,PIÑON TENSOR Z12 3/4x 7/16 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=t%2BMGqrYMP57bvbCHhDT39w%3D%3D
PC11013,PIÑON TENSOR Z13 3/4x7/16 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=scn0p%2BL9kgtMLkB78W7qdA%3D%3D
PC10013,PIÑON TENSOR Z13 5/8x3/8 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=vaD45ucoI3uT80mw4zeBBg%3D%3D
PC09014,PIÑON TENSOR Z14 1/2x 5/16 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=1Xf7yiJoMZLCiHbwrhjfbg%3D%3D
PC10014,PIÑON TENSOR Z14 5/8x3/8 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=aspFHxBFUKLSFBV6tjGyDg%3D%3D
PC12015,"PIÑON TENSOR Z15 1""x17,02 ROD NAC",https://tracensl.com/www2/ver_fichero.php?abtec=%2FJibI6ffPBm%2BBim41Kpxrg%3D%3D
PC09015,PIÑON TENSOR Z15 1/2x5/16 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=2eIWkUPZXaNMOGXb4%2BLorg%3D%3D
PC11015,PIÑON TENSOR Z15 3/4x7/16 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=sRkPtJ4Msgxqhafy7oWwTw%3D%3D
PC10015,PIÑON TENSOR Z15 5/8x3/8 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=iWTxcBNzenMEUHLR%2F%2BWIsg%3D%3D
PC07016,PIÑON TENSOR Z16 1/2x3/16 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=LhwXwf9iNM0n0cNplWBVvg%3D%3D
PC09016,PIÑON TENSOR Z16 1/2x5/16 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=XYXyQhOOA2sUdPZm2y3jOg%3D%3D
PC11016,PIÑON TENSOR Z16 3/4x 7/16 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=TYf%2F0vDLqEy5CyWOLmbP2g%3D%3D
PC10016,PIÑON TENSOR Z16 5/8x3/8 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=rsAOta8rJDqr%2Bf%2BuQgmSyw%3D%3D
PC12017,"PIÑON TENSOR Z17 1""x17,02 ROD NAC",https://tracensl.com/www2/ver_fichero.php?abtec=FDBfleDKEbaor6ezQl9gzg%3D%3D
PC10017,PIÑON TENSOR Z17 5/8x3/8 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=IDzXdOWvfdvQEzm%2FCzYMhA%3D%3D
PC06018,PIÑON TENSOR Z18 1/2x1/8 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=FBActvYOug%2Fn9f4uYhp5ow%3D%3D
PC07018,PIÑON TENSOR Z18 1/2x3/16 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=ky3MHKIqWKgSRPr0VFnXXQ%3D%3D
PC09018,PIÑON TENSOR Z18 1/2x5/16 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=8%2BC1ZEk3MJKzM8lWMhWiDA%3D%3D
PC10018,PIÑON TENSOR Z18 5/8x3/8 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=76aRuAhE8mhRsk%2BdqjPL9Q%3D%3D
PC09020,PIÑON TENSOR Z20 1/2x5/16 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=ZRxBQgLQ48KX6FuZkwx2ww%3D%3D
PC05020,PIÑON TENSOR Z20 3/8x7/32 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=oOosH5eUU1eJD8vv9ewErA%3D%3D
PC09021,PIÑON TENSOR Z21 1/2x5/16 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=M88UJjbsWZKi0ytTL9lUYQ%3D%3D
PC05021,PIÑON TENSOR Z21 3/8x7/32 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=NtoHHW3KhialJ91VQ%2BscMw%3D%3D
PC10021,PIÑON TENSOR Z21 5/8x3/8 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=3K%2FBCP4A6FaHCu%2BW57wU7g%3D%3D
PC04023,PIÑON TENSOR Z23 8x3 ROD NAC,https://tracensl.com/www2/ver_fichero.php?abtec=12caHIDGVGliErGWt1VEWA%3D%3D
